period,day,mean_car_pct,ci_lo_pct,ci_hi_pct,n_events
holdout_2015_2026,27,0.20750253588044326,-0.917016957642299,1.3825654208256577,9966
holdout_2015_2026,28,0.21845530330008087,-0.9413516014926543,1.4480271639932254,9966
holdout_2015_2026,29,0.202023281833069,-1.0014385759771356,1.467253360132868,9966
holdout_2015_2026,30,0.199263781464779,-1.0392947798850465,1.5122314025652532,9966
holdout_2015_2026,31,0.20466734942267312,-1.0397705148977072,1.5474149238862198,9966
holdout_2015_2026,32,0.241635832058622,-1.024540998216238,1.586119849815865,9966
holdout_2015_2026,33,0.275335330918655,-0.9878758807433456,1.6393899569181576,9966
holdout_2015_2026,34,0.31345429453020734,-0.9767349443181755,1.6751680525435717,9966
holdout_2015_2026,35,0.3000573985520902,-0.9953746300588238,1.680864053475036,9966
holdout_2015_2026,36,0.25705740211553607,-1.080251502908857,1.6506058810789734,9966
holdout_2015_2026,37,0.25689021016319513,-1.1130493642175154,1.6534339609798308,9966
holdout_2015_2026,38,0.22653722219607852,-1.1618429523550942,1.6578193355007125,9966
holdout_2015_2026,39,0.24712771453248364,-1.1807102021675833,1.7279040105552927,9966
holdout_2015_2026,40,0.23577462121634882,-1.201580798498979,1.7427109311899176,9966
holdout_2015_2026,41,0.20235805731440362,-1.2650876690642505,1.754717039879585,9966
holdout_2015_2026,42,0.15276507525802907,-1.3401759310242112,1.7093274453575884,9966
holdout_2015_2026,43,0.0793820990827905,-1.4289980813867826,1.6572723801390699,9966
holdout_2015_2026,44,0.05038989327904365,-1.514681911815039,1.6656335960161455,9966
holdout_2015_2026,45,0.06889650798388487,-1.509826420855879,1.724581782709812,9966
holdout_2015_2026,46,0.10117941260219228,-1.5001156511994984,1.7841309996575987,9966
holdout_2015_2026,47,0.1299399217428951,-1.4898561237888437,1.8430061471285615,9966
holdout_2015_2026,48,0.08283022636481387,-1.5602267754398773,1.8129922636398301,9966
holdout_2015_2026,49,0.028113931825182552,-1.6689322723748332,1.7901350556685125,9966
holdout_2015_2026,50,-0.0005873014544302778,-1.7310219099563533,1.7970954630950626,9966
holdout_2015_2026,51,-0.06131750775281613,-1.8204213009358667,1.7539669421322055,9966
holdout_2015_2026,52,-0.10089835129843319,-1.878103389920609,1.7521591076171774,9966
holdout_2015_2026,53,-0.13030796728464406,-1.903566951228703,1.7287477868165864,9966
holdout_2015_2026,54,-0.13040438833906837,-1.9073527283847271,1.7424350664233856,9966
holdout_2015_2026,55,-0.14072129674246805,-1.8818223702038612,1.7160675769122447,9966
holdout_2015_2026,56,-0.11424719663664694,-1.8742431179841417,1.773856482821604,9966
holdout_2015_2026,57,-0.13031797894792493,-1.9172471651571783,1.7842671474305354,9966
holdout_2015_2026,58,-0.13392551952858472,-1.9352223003207694,1.7787165810732852,9966
holdout_2015_2026,59,-0.10263271909140863,-1.909879099422052,1.8255587507064415,9966
holdout_2015_2026,60,-0.11759168531684974,-1.9623160195558278,1.8406948219466635,9966
